ip.proto,ip.src.len.mean,ip.src.len.median,ip.src.len.var,ip.src.len.std,ip.src.len.entropy,ip.src.len.cv,ip.src.len.cvq,ip.src.len.unique_ratio,ip.dst.len.mean,ip.dst.len.median,ip.dst.len.var,ip.dst.len.std,ip.dst.len.entropy,ip.dst.len.cv,ip.dst.len.cvq,ip.dst.len.unique_ratio,sport.mean,sport.median,sport.var,sport.std,sport.entropy,sport.cv,sport.cvq,sport.unique_ratio,dport.mean,dport.median,dport.var,dport.std,dport.entropy,dport.cv,dport.cvq,dport.unique_ratio,tcp.flags.mean,tcp.flags.median,tcp.flags.var,tcp.flags.std,tcp.flags.entropy,tcp.flags.cv,tcp.flags.cvq,tcp.flags.unique_ratio,status
6.0,8.0,8.0,1.0204081632653061,1.0101525445522108,0,0.12626906806902635,0,0.04,8.0,8.0,1.0204081632653061,1.0101525445522108,0,0.12626906806902635,0,0.04,22604.22,17877.0,549585569.7261224,23443.24145091976,0,1.0371179120942797,0,0.12,22868.28,17877.0,560955921.3077551,23684.50804445292,0,1.035692585732417,0,0.12,105.48,109.0,1475.9281632653062,38.41781049546299,0,0.36421890875486335,0,0.1,ddos
6.0,7.8,7.0,0.9795918367346939,0.989743318610787,0,0.126890169052665,0,0.04,8.2,9.0,0.9795918367346939,0.989743318610787,0,0.12070040470863257,0,0.04,16411.68,20552.0,214558034.83428574,14647.799658456752,0,0.892522865328641,0,0.14,10755.26,80.0,196212184.23714283,14007.575958642625,0,1.3023930577822038,0,0.14,111.62,135.0,1412.077142857143,37.57761491709051,0,0.33665664681141827,0,0.1,ddos
6.0,7.8,7.0,0.9795918367346939,0.989743318610787,0,0.126890169052665,0,0.04,8.2,9.0,0.9795918367346939,0.989743318610787,0,0.12070040470863257,0,0.04,24792.12,35687.0,533205368.3118368,23091.24007739378,0,0.9313943332556386,0,0.14,17384.26,80.0,575431520.6453062,23988.15375649627,0,1.3798777604854204,0,0.12,113.66,135.0,1375.4942857142858,37.08765678381806,0,0.32630350856781687,0,0.08,ddos
6.0,7.72,7.0,0.9404081632653062,0.9697464427701223,0,0.12561482419302103,0,0.04,8.28,9.0,0.9404081632653061,0.9697464427701223,0,0.11711913560025633,0,0.04,31251.1,34826.0,687337902.4999999,26217.129943988908,0,0.83891862827193,0,0.14,17737.66,80.0,641552704.6779591,25328.89071155622,0,1.427972500970039,0,0.14,102.88,83.0,1400.1485714285718,37.418559184294786,0,0.36371072301997265,0,0.1,ddos
6.0,7.84,7.0,0.9942857142857141,0.9971387638065797,0,0.12718606681206374,0,0.04,8.16,9.0,0.9942857142857141,0.9971387638065797,0,0.122198377917473,0,0.04,24595.64,26947.0,580580940.1534694,24095.24725238298,0,0.9796552255758736,0,0.14,19314.36,80.0,616756363.9085715,24834.580002661038,0,1.2858091079725673,0,0.14,104.58,83.0,1431.391428571429,37.83373400249345,0,0.36176834961267407,0,0.1,ddos
6.0,7.88,7.0,1.0057142857142856,1.002853072844814,0,0.12726561838132158,0,0.04,8.12,9.0,1.0057142857142858,1.002853072844814,0,0.12350407301044508,0,0.04,22585.96,23683.0,504419232.93714285,22459.279439401944,0,0.9943911810435307,0,0.14,19826.82,80.0,565347336.3138775,23777.033799737877,0,1.1992358734147925,0,0.12,104.1,83.0,1443.3571428571427,37.99154041174354,0,0.3649523574615134,0,0.1,ddos
6.0,7.8,7.0,0.9795918367346939,0.989743318610787,0,0.126890169052665,0,0.04,8.2,9.0,0.9795918367346939,0.989743318610787,0,0.12070040470863257,0,0.04,28930.22,34832.0,646884103.930204,25433.916409593785,0,0.8791470099291946,0,0.14,19704.2,80.0,635964649.1836735,25218.33954057391,0,1.2798458978580156,0,0.14,110.5,135.0,1413.3163265306123,37.59409962388529,0,0.3402180961437583,0,0.1,ddos
6.0,8.04,9.0,1.0187755102040816,1.0093440990088969,0,0.12554031082200212,0,0.04,7.96,7.0,1.0187755102040814,1.0093440990088967,0,0.12680202248855485,0,0.04,25356.76,80.0,764210556.1861225,27644.35848751283,0,1.0902165137625166,0,0.14,26777.34,35587.0,741988790.5555103,27239.47118714881,0,1.0172582932863687,0,0.16,108.14,135.0,1383.0208163265306,37.18898783681173,0,0.343896687967558,0,0.1,ddos
6.0,8.0,8.0,1.0204081632653061,1.0101525445522108,0,0.12626906806902635,0,0.04,8.0,8.0,1.0204081632653061,1.0101525445522108,0,0.12626906806902635,0,0.04,27015.78,23096.5,759458603.6036733,27558.276499151274,0,1.0200807268622736,0,0.14,27463.32,23096.5,779298144.0587753,27915.912022693712,0,1.0164798728884095,0,0.14,104.96,109.0,1490.6922448979594,38.609483872462725,0,0.36784950335806715,0,0.1,ddos
6.0,7.84,7.0,0.9942857142857141,0.9971387638065797,0,0.12718606681206374,0,0.04,8.16,9.0,0.9942857142857141,0.9971387638065797,0,0.122198377917473,0,0.04,28323.64,41240.0,605880067.2146939,24614.631161459518,0,0.8690490050522998,0,0.14,19934.44,80.0,571042804.2514286,23896.501924997905,0,1.198754613874175,0,0.14,106.74,135.0,1449.584081632653,38.07340386191722,0,0.3566929348127902,0,0.1,ddos
