ip.proto,ip.src.len.mean,ip.src.len.median,ip.src.len.var,ip.src.len.std,ip.src.len.entropy,ip.src.len.cv,ip.src.len.cvq,ip.src.len.unique_ratio,ip.dst.len.mean,ip.dst.len.median,ip.dst.len.var,ip.dst.len.std,ip.dst.len.entropy,ip.dst.len.cv,ip.dst.len.cvq,ip.dst.len.unique_ratio,sport.mean,sport.median,sport.var,sport.std,sport.entropy,sport.cv,sport.cvq,sport.unique_ratio,dport.mean,dport.median,dport.var,dport.std,dport.entropy,dport.cv,dport.cvq,dport.unique_ratio,tcp.flags.mean,tcp.flags.median,tcp.flags.var,tcp.flags.std,tcp.flags.entropy,tcp.flags.cv,tcp.flags.cvq,tcp.flags.unique_ratio,status
7.32,9.38,9.5,1.6281632653061224,1.2759950099064348,0,0.13603358314567535,0,0.08,8.98,9.0,2.428163265306122,1.5582564825169578,0,0.17352522077026256,0,0.06,27064.02,443.0,854338344.7138777,29229.06677801872,0,1.0799972353707512,0,0.18,32061.04,56392.5,874884422.6106122,29578.445236533513,0,0.922566617818184,0,0.18,96.32,83.0,2664.303673469388,51.61689329540657,0,0.5358896729174271,0,0.08,normal
8.64,8.96,9.0,3.794285714285714,1.947892634178207,0,0.21739873149310343,0,0.08,8.8,9.0,3.6734693877551017,1.9166296949998196,0,0.21779882897725222,0,0.08,23326.6,443.0,811822146.3673468,28492.492807182505,0,1.2214593128523876,0,0.2,35241.4,56917.0,833487731.4693878,28870.187589785208,0,0.819212278450493,0,0.18,69.68,65.0,2599.5281632653064,50.98556818615741,0,0.7317102208116734,0,0.08,normal
7.1,9.62,10.0,1.22,1.104536101718726,0,0.11481664259030418,0,0.08,9.12,9.0,2.883265306122449,1.6980180523547002,0,0.18618618995117328,0,0.08,26828.46,443.0,906457741.314694,30107.436644701156,0,1.1222200843694032,0,0.14,33630.36,59610.0,887188386.5208164,29785.707755915697,0,0.8856791231469332,0,0.12,76.16,65.0,1750.7493877551021,41.84195726486874,0,0.5493954472803143,0,0.08,normal
9.52,8.7,9.0,4.867346938775511,2.206206458782929,0,0.25358694928539416,0,0.08,8.64,9.0,4.561632653061225,2.135797896117801,0,0.24719883056918993,0,0.08,31491.2,59261.0,916761550.6938773,30278.07045856584,0,0.9614771891374682,0,0.24,29107.66,443.0,917886516.3106123,30296.64199726782,0,1.0408477355193726,0,0.26,77.8,65.0,3955.265306122449,62.89090002633488,0,0.8083663242459497,0,0.06,normal
6.0,9.76,10.0,0.3493877551020408,0.5910903104450629,0,0.06056253180789579,0,0.06,9.34,9.0,0.269795918367347,0.5194188275056527,0,0.05561229416548744,0,0.06,19347.0,443.0,778404940.1224489,27899.90932104348,0,1.442079357060189,0,0.1,40675.92,59610.0,777281091.2587757,27879.761319975027,0,0.6854119420034022,0,0.08,98.6,65.0,1590.857142857143,39.8855505522632,0,0.40451876827853145,0,0.04,normal
11.94,8.08,9.0,5.136326530612244,2.266346516005936,0,0.28048843019875447,0,0.1,7.8,9.0,7.510204081632653,2.740475156178697,0,0.35134296874085863,0,0.1,36380.5,54814.0,762836530.5408163,27619.495479476383,0,0.7591840540805207,0,0.42,20101.22,80.0,731525525.154694,27046.728548101597,0,1.345526716691902,0,0.3,45.94,0.0,3174.22081632653,56.34022378662096,0,1.2263871089817362,0,0.12,normal
13.04,7.26,9.0,6.400408163265306,2.52990279719702,0,0.348471459669011,0,0.08,7.72,9.0,5.838367346938775,2.4162713727846827,0,0.31298851979076203,0,0.08,27977.7,25097.5,801301493.846939,28307.269275699113,0,1.0117797129749448,0,0.3,28606.06,26041.5,834165434.6697959,28881.922281416726,0,1.0096434909741756,0,0.4,33.78,0.0,2571.4812244897957,50.70977444723843,0,1.501177455513275,0,0.1,normal
7.54,9.32,9.0,2.222040816326531,1.4906511383709238,0,0.15994110926726648,0,0.08,8.86,9.0,3.755510204081633,1.9379138794285036,0,0.21872617149305912,0,0.08,31405.26,54816.0,787507425.7065306,28062.562707395962,0,0.893562502185811,0,0.28,24287.34,443.0,756622608.1065307,27506.773858570377,0,1.132556050130248,0,0.18,81.92,65.0,2289.6669387755105,47.85046435276789,0,0.5841121136812486,0,0.12,normal
7.1,9.3,9.0,3.683673469387755,1.9192898346492004,0,0.20637525103754842,0,0.1,9.36,9.0,2.11265306122449,1.4534968390830747,0,0.15528812383366183,0,0.1,26553.04,443.0,774939518.2432653,27837.735508537062,0,1.0483822382874828,0,0.36,29139.0,54814.0,797619183.5510204,28242.152601227484,0,0.9692217509601389,0,0.42,99.46,83.0,2259.886122448979,47.538259564786124,0,0.477963599082909,0,0.12,normal
6.0,9.68,9.0,1.3648979591836734,1.1682884743006212,0,0.12069095808890716,0,0.08,9.94,9.5,1.159591836734694,1.0768434597167287,0,0.10833435208417794,0,0.08,28554.34,54820.0,763693618.2289796,27635.00711469023,0,0.9678040926419672,0,0.24,26400.9,443.0,761793009.8061227,27600.59799725583,0,1.045441556812678,0,0.22,106.66,109.0,1514.7187755102038,38.91938816978247,0,0.3648920698460761,0,0.1,normal
7.32,9.2,9.0,2.2448979591836733,1.4982983545287878,0,0.16285851679660737,0,0.08,9.4,9.5,2.489795918367347,1.5779087167410373,0,0.16786262944053587,0,0.08,31028.42,54849.0,757199251.8404082,27517.253711815214,0,0.8868403132294592,0,0.22,24490.9,443.0,762451854.9489794,27612.530759584122,0,1.1274608429900135,0,0.22,89.5,65.0,2438.826530612245,49.384476615756945,0,0.5517818616285692,0,0.12,normal
7.1,9.06,9.0,1.8942857142857144,1.3763305250868028,0,0.15191286148860958,0,0.06,9.46,10.0,1.7228571428571429,1.312576528381162,0,0.13875016156249068,0,0.08,31972.2,54849.0,737228589.2653061,27151.953691499,0,0.849236326918354,0,0.26,23221.26,443.0,734619671.3391837,27103.868198823275,0,1.1672005825189191,0,0.22,106.78,145.0,2438.6648979591837,49.38284011637224,0,0.4624727487953947,0,0.14,normal
6.44,9.52,10.0,1.88734693877551,1.3738074605910064,0,0.14430750636460152,0,0.08,9.6,9.0,0.5714285714285714,0.7559289460184544,0,0.078742598543589,0,0.06,24361.92,443.0,745552375.0138775,27304.80498033043,0,1.1207985651512866,0,0.22,30946.86,54853.5,746863094.4085715,27328.796065845483,0,0.8830878501355383,0,0.22,99.44,65.0,2006.1289795918365,44.789831207449716,0,0.450420667814257,0,0.08,normal
6.44,9.42,9.0,1.2281632653061225,1.1082252773268269,0,0.11764599546993916,0,0.08,9.8,10.0,1.346938775510204,1.1605769149479943,0,0.11842621581101982,0,0.08,35402.48,54855.0,707196847.2751021,26593.172944857524,0,0.7511669505881374,0,0.32,20027.82,443.0,705929189.0893879,26569.327975870747,0,1.326621068886716,0,0.3,114.74,145.0,1811.9922448979594,42.56750221586838,0,0.3709909553413664,0,0.12,normal
6.0,9.76,10.0,0.6759183673469388,0.8221425468536091,0,0.0842359166858206,0,0.06,9.78,9.0,0.7873469387755102,0.8873257230439734,0,0.0907286015382386,0,0.06,27000.64,443.0,785621546.0718365,28028.94122281176,0,1.0380843277348892,0,0.26,28994.58,54853.0,772334607.9220408,27790.908727892307,0,0.9584863353044709,0,0.26,116.7,145.0,1418.1326530612246,37.658102090535905,0,0.32269153462327255,0,0.1,normal
6.0,10.08,10.0,0.6873469387755103,0.8290638930598234,0,0.0822484020892682,0,0.06,9.46,9.0,0.5799999999999998,0.7615773105863908,0,0.08050500111906879,0,0.06,17250.38,443.0,684274201.4648978,26158.635313503986,0,1.5164092219130236,0,0.12,39190.86,54833.0,659189119.4289796,25674.678565251397,0,0.6551190396243256,0,0.28,128.16,145.0,1149.6473469387756,33.90644993122659,0,0.26456343579296654,0,0.08,normal
7.98,9.06,9.0,2.54734693877551,1.5960410203924928,0,0.17616346803449148,0,0.08,8.94,9.0,3.1187755102040815,1.7660055238317012,0,0.19753976776640955,0,0.08,26932.38,443.0,782104045.2200001,27966.123171079686,0,1.038382911984744,0,0.24,28998.46,54601.0,774801126.6616327,27835.249714375343,0,0.9598871703661278,0,0.18,88.1,65.0,3014.1734693877547,54.901488772052026,0,0.6231724037690355,0,0.1,normal
7.1,9.3,9.0,2.3367346938775513,1.5286381827880497,0,0.16436969707398383,0,0.08,9.32,9.0,1.609795918367347,1.2687773320671152,0,0.136134906874154,0,0.08,26597.72,443.0,761723615.062857,27599.340844716873,0,1.0376581468154742,0,0.18,28717.48,51314.0,757114933.8057144,27515.721575232485,0,0.9581523718387716,0,0.18,98.98,114.0,2544.795510204082,50.44596624314061,0,0.5096581758248192,0,0.1,normal
6.22,9.44,10.0,0.9044897959183673,0.9510466844053279,0,0.10074647080564915,0,0.08,9.48,9.0,0.29551020408163264,0.5436085025840128,0,0.0573426690489465,0,0.06,25465.0,443.0,750856410.7755102,27401.759264242693,0,1.0760557339188177,0,0.12,29764.3,54853.0,748263241.5204082,27354.400770633016,0,0.9190339020448328,0,0.12,102.46,74.0,1795.6412244897963,42.375007073625326,0,0.41357609870803563,0,0.08,normal
7.1,9.62,10.0,0.4444897959183673,0.6667006794044591,0,0.06930360492769845,0,0.06,8.98,9.0,3.244489795918368,1.8012467337703537,0,0.20058426879402602,0,0.08,26730.54,443.0,770904311.3963267,27765.1636299217,0,1.0387056763507845,0,0.2,28684.86,54853.0,757232745.592245,27517.86230055389,0,0.9593165976948778,0,0.12,96.1,65.0,2456.4183673469392,49.56226757672553,0,0.515736395179246,0,0.08,normal
6.44,9.62,10.0,1.260816326530612,1.122860777893062,0,0.11672149458347839,0,0.08,9.48,9.0,1.1526530612244896,1.0736168130317676,0,0.11325071867423708,0,0.08,25373.66,443.0,745804594.9228572,27309.42318912754,0,1.0762902627814648,0,0.16,29895.06,54853.0,756887498.7514287,27511.58844471596,0,0.9202720598224575,0,0.14,92.8,65.0,1865.469387755102,43.19107995587864,0,0.4654211202142095,0,0.06,normal
7.1,9.36,10.0,3.133061224489796,1.7700455430552617,0,0.18910742981359635,0,0.08,9.32,9.0,0.9567346938775511,0.978128158207068,0,0.10494937319818326,0,0.08,21081.04,443.0,713401433.3044897,26709.57568559429,0,1.2669951617944033,0,0.22,33969.52,54853.0,704658142.7853062,26545.397770334996,0,0.7814475379791942,0,0.2,87.26,65.0,2192.318775510204,46.82220387284439,0,0.5365826710158651,0,0.1,normal
7.1,9.3,9.5,3.071428571428572,1.7525491637693285,0,0.18844614664186327,0,0.08,9.44,9.0,1.1493877551020408,1.0720950308167838,0,0.11356938885771016,0,0.08,23182.54,443.0,732475694.702449,27064.28818022837,0,1.1674427470082385,0,0.2,31817.54,54754.5,728941869.2330613,26998.92348285504,0,0.8485547117362008,0,0.22,92.34,65.0,2451.1677551020407,49.50926938566192,0,0.5361627613781884,0,0.08,normal
6.66,9.5,9.0,1.9285714285714286,1.3887301496588271,0,0.14618212101671865,0,0.08,9.6,9.0,1.346938775510204,1.1605769149479943,0,0.12089342864041608,0,0.08,26506.08,443.0,752742685.54449,27436.156537395866,0,1.0350891771773065,0,0.22,28631.64,52629.0,751112741.8269387,27406.436138741912,0,0.957208044622729,0,0.18,85.46,65.0,1797.3146938775512,42.39474842333129,0,0.4960770936500269,0,0.08,normal
6.44,9.38,9.0,1.1383673469387756,1.0669429914193052,0,0.11374658757135449,0,0.08,9.24,9.0,1.9412244897959186,1.3932783245984697,0,0.15078769746736684,0,0.1,25850.44,443.0,778399664.6595918,27899.81477823091,0,1.0792781391044373,0,0.24,29801.2,54853.0,752553652.9387753,27432.71136688416,0,0.9205237160545267,0,0.26,110.52,145.0,1996.4179591836737,44.68129316821161,0,0.4042824209935904,0,0.08,normal
7.32,9.02,9.0,2.1832653061224487,1.4775876644458186,0,0.16381237965031248,0,0.1,9.08,9.0,2.4424489795918367,1.5628336378488392,0,0.1721182420538369,0,0.1,30753.3,53888.0,742605465.1122447,27250.78833928011,0,0.8861094041706129,0,0.32,24903.02,443.0,785829487.7751021,28032.6503879869,0,1.125672725154897,0,0.3,103.94,145.0,2686.1800000000003,51.828370609155755,0,0.49863739281465996,0,0.14,normal
7.32,8.78,9.0,2.1751020408163266,1.4748227150462276,0,0.16797525228316945,0,0.1,8.68,9.0,1.8955102040816325,1.3767752917893437,0,0.15861466495268936,0,0.12,26827.92,443.0,773893857.7893877,27818.947819595687,0,1.0369401660507296,0,0.3,28621.14,51348.0,752745288.5718367,27436.2039752557,0,0.9585992722601441,0,0.26,102.12,145.0,2788.4342857142856,52.805627405744225,0,0.5170938837225247,0,0.08,normal
